Year,t1_general_traditional_Team,t1_general_traditional_GP,t1_general_traditional_W,t1_general_traditional_L,t1_general_traditional_WIN%,t1_general_traditional_Min,t1_general_traditional_PTS,t1_general_traditional_FGM,t1_general_traditional_FGA,t1_general_traditional_FG%,t1_general_traditional_3PM,t1_general_traditional_3PA,t1_general_traditional_3P%,t1_general_traditional_FTM,t1_general_traditional_FTA,t1_general_traditional_FT%,t1_general_traditional_OREB,t1_general_traditional_DREB,t1_general_traditional_REB,t1_general_traditional_AST,t1_general_traditional_TOV,t1_general_traditional_STL,t1_general_traditional_BLK,t1_general_traditional_BLKA,t1_general_traditional_PF,t1_general_traditional_PFD,t1_general_traditional_+/-,t1_general_advanced_TEAM,t1_general_advanced_GP,t1_general_advanced_W,t1_general_advanced_L,t1_general_advanced_MIN,t1_general_advanced_OffRtg,t1_general_advanced_DefRtg,t1_general_advanced_NetRtg,t1_general_advanced_AST%,t1_general_advanced_AST/TO,t1_general_advanced_AST,t1_general_advanced_OREB%,t1_general_advanced_DREB%,t1_general_advanced_REB%,t1_general_advanced_TOV%,t1_general_advanced_eFG%,t1_general_advanced_TS%,t1_general_advanced_PACE,t1_general_advanced_PIE,t1_general_advanced_POSS,t1_general_defense_TEAM,t1_general_defense_GP,t1_general_defense_W,t1_general_defense_L,t1_general_defense_MIN,t1_general_defense_DEF RTG,t1_general_defense_DREB,t1_general_defense_DREB%,t1_general_defense_STL,t1_general_defense_BLK,t1_general_defense_OPP PTS,t1_general_defense_OPP PTS.1,t1_general_defense_OPP PTS.2,t1_general_defense_OPP PTS.3,t1_general_opponent_TEAM,t1_general_opponent_Games Played,t1_general_opponent_Wins,t1_general_opponent_Losses,t1_general_opponent_Minutes Played,t1_general_opponent_Opponent's Field Goals Made,t1_general_opponent_Opponent's Field Goals Attempted,t1_general_opponent_Opponent's Field Goal Percentage,t1_general_opponent_Opponent's 3 Point Field Goals Made,t1_general_opponent_Opponent's 3 Point Field Goals Attempted,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Free Throws Made,t1_general_opponent_Opponent's Free Throws Attempted,t1_general_opponent_Opponent's Free Throw Percentage,t1_general_opponent_Opponent's Offensive Rebounds,t1_general_opponent_Opponent's Defensive Rebounds,t1_general_opponent_Opponent's Rebounds,t1_general_opponent_Opponent's Assists,t1_general_opponent_Opponent's Turnovers,t1_general_opponent_Opponent's Steals,t1_general_opponent_Opponent's Blocks,t1_general_opponent_Opponent's Blocked Field Goal Attempts,t1_general_opponent_Opponent's Personal Fouls,t1_general_opponent_Opponent's Personal Fouls Drawn,t1_general_opponent_Opponent's Points,t1_general_opponent_Plus-Minus,t1_clutch-traditional_TEAM,t1_clutch-traditional_Games Played,t1_clutch-traditional_Wins,t1_clutch-traditional_Losses,t1_clutch-traditional_Win Percentage,t1_clutch-traditional_Minutes Played,t1_clutch-traditional_Points,t1_clutch-traditional_Field Goals Made,t1_clutch-traditional_Field Goals Attempted,t1_clutch-traditional_Field Goal Percentage,t1_clutch-traditional_3 Point Field Goals Made,t1_clutch-traditional_3 Point Field Goals Attempted,t1_clutch-traditional_3 Point Field Goal Percentage,t1_clutch-traditional_Free Throws Made,t1_clutch-traditional_Free Throws Attempted,t1_clutch-traditional_Free Throw Percentage,t1_clutch-traditional_Offensive Rebounds,t1_clutch-traditional_Defensive Rebounds,t1_clutch-traditional_Rebounds,t1_clutch-traditional_Assists,t1_clutch-traditional_Turnovers,t1_clutch-traditional_Steals,t1_clutch-traditional_Blocks,t1_clutch-traditional_Blocks Against,t1_clutch-traditional_Personal Fouls,t1_clutch-traditional_Personal Fouls Drawn,t1_clutch-traditional_Plus-Minus,t1_clutch-advanced_TEAM,t1_clutch-advanced_Games Played,t1_clutch-advanced_Wins,t1_clutch-advanced_Losses,t1_clutch-advanced_Minutes Played,t1_clutch-advanced_Offensive Rating,t1_clutch-advanced_Defensive Rating,t1_clutch-advanced_Net Rating,t1_clutch-advanced_Assist Percentage,t1_clutch-advanced_Assist to Turnover Ratio,t1_clutch-advanced_Assist Ratio,t1_clutch-advanced_Offensive Rebounding Percentage,t1_clutch-advanced_Defensive Rebounding Percentage,t1_clutch-advanced_Rebounding Percentage,t1_clutch-advanced_Turnover Ratio,t1_clutch-advanced_Effective Field Goal Percentage,t1_clutch-advanced_True Shooting Percentage,t1_clutch-advanced_Pace,t1_clutch-advanced_Player Impact Estimate,t1_clutch-opponent_TEAM,t1_clutch-opponent_Games Played,t1_clutch-opponent_Wins,t1_clutch-opponent_Losses,t1_clutch-opponent_Minutes Played,t1_clutch-opponent_Opponent's Field Goals Made,t1_clutch-opponent_Opponent's Field Goals Attempted,t1_clutch-opponent_Opponent's Field Goal Percentage,t1_clutch-opponent_Opponent's 3 Point Field Goals Made,t1_clutch-opponent_Opponent's 3 Point Field Goals Attempted,t1_clutch-opponent_Opponent's 3 Point Field Goal Percentage,t1_clutch-opponent_Opponent's Free Throws Made,t1_clutch-opponent_Opponent's Free Throws Attempted,t1_clutch-opponent_Opponent's Free Throw Percentage,t1_clutch-opponent_Opponent's Offensive Rebounds,t1_clutch-opponent_Opponent's Defensive Rebounds,t1_clutch-opponent_Opponent's Rebounds,t1_clutch-opponent_Opponent's Assists,t1_clutch-opponent_Opponent's Turnovers,t1_clutch-opponent_Opponent's Steals,t1_clutch-opponent_Opponent's Blocks,t1_clutch-opponent_Opponent's Blocked Field Goal Attempts,t1_clutch-opponent_Opponent's Personal Fouls,t1_clutch-opponent_Opponent's Personal Fouls Drawn,t1_clutch-opponent_Opponent's Points,t1_clutch-opponent_Plus-Minus,t1_TEAM,t1_seed,t2_general_traditional_Team,t2_general_traditional_GP,t2_general_traditional_W,t2_general_traditional_L,t2_general_traditional_WIN%,t2_general_traditional_Min,t2_general_traditional_PTS,t2_general_traditional_FGM,t2_general_traditional_FGA,t2_general_traditional_FG%,t2_general_traditional_3PM,t2_general_traditional_3PA,t2_general_traditional_3P%,t2_general_traditional_FTM,t2_general_traditional_FTA,t2_general_traditional_FT%,t2_general_traditional_OREB,t2_general_traditional_DREB,t2_general_traditional_REB,t2_general_traditional_AST,t2_general_traditional_TOV,t2_general_traditional_STL,t2_general_traditional_BLK,t2_general_traditional_BLKA,t2_general_traditional_PF,t2_general_traditional_PFD,t2_general_traditional_+/-,t2_general_advanced_TEAM,t2_general_advanced_GP,t2_general_advanced_W,t2_general_advanced_L,t2_general_advanced_MIN,t2_general_advanced_OffRtg,t2_general_advanced_DefRtg,t2_general_advanced_NetRtg,t2_general_advanced_AST%,t2_general_advanced_AST/TO,t2_general_advanced_AST,t2_general_advanced_OREB%,t2_general_advanced_DREB%,t2_general_advanced_REB%,t2_general_advanced_TOV%,t2_general_advanced_eFG%,t2_general_advanced_TS%,t2_general_advanced_PACE,t2_general_advanced_PIE,t2_general_advanced_POSS,t2_general_defense_TEAM,t2_general_defense_GP,t2_general_defense_W,t2_general_defense_L,t2_general_defense_MIN,t2_general_defense_DEF RTG,t2_general_defense_DREB,t2_general_defense_DREB%,t2_general_defense_STL,t2_general_defense_BLK,t2_general_defense_OPP PTS,t2_general_defense_OPP PTS.1,t2_general_defense_OPP PTS.2,t2_general_defense_OPP PTS.3,t2_general_opponent_TEAM,t2_general_opponent_Games Played,t2_general_opponent_Wins,t2_general_opponent_Losses,t2_general_opponent_Minutes Played,t2_general_opponent_Opponent's Field Goals Made,t2_general_opponent_Opponent's Field Goals Attempted,t2_general_opponent_Opponent's Field Goal Percentage,t2_general_opponent_Opponent's 3 Point Field Goals Made,t2_general_opponent_Opponent's 3 Point Field Goals Attempted,t2_general_opponent_Opponent's 3 Point Field Goal Percentage,t2_general_opponent_Opponent's Free Throws Made,t2_general_opponent_Opponent's Free Throws Attempted,t2_general_opponent_Opponent's Free Throw Percentage,t2_general_opponent_Opponent's Offensive Rebounds,t2_general_opponent_Opponent's Defensive Rebounds,t2_general_opponent_Opponent's Rebounds,t2_general_opponent_Opponent's Assists,t2_general_opponent_Opponent's Turnovers,t2_general_opponent_Opponent's Steals,t2_general_opponent_Opponent's Blocks,t2_general_opponent_Opponent's Blocked Field Goal Attempts,t2_general_opponent_Opponent's Personal Fouls,t2_general_opponent_Opponent's Personal Fouls Drawn,t2_general_opponent_Opponent's Points,t2_general_opponent_Plus-Minus,t2_clutch-traditional_TEAM,t2_clutch-traditional_Games Played,t2_clutch-traditional_Wins,t2_clutch-traditional_Losses,t2_clutch-traditional_Win Percentage,t2_clutch-traditional_Minutes Played,t2_clutch-traditional_Points,t2_clutch-traditional_Field Goals Made,t2_clutch-traditional_Field Goals Attempted,t2_clutch-traditional_Field Goal Percentage,t2_clutch-traditional_3 Point Field Goals Made,t2_clutch-traditional_3 Point Field Goals Attempted,t2_clutch-traditional_3 Point Field Goal Percentage,t2_clutch-traditional_Free Throws Made,t2_clutch-traditional_Free Throws Attempted,t2_clutch-traditional_Free Throw Percentage,t2_clutch-traditional_Offensive Rebounds,t2_clutch-traditional_Defensive Rebounds,t2_clutch-traditional_Rebounds,t2_clutch-traditional_Assists,t2_clutch-traditional_Turnovers,t2_clutch-traditional_Steals,t2_clutch-traditional_Blocks,t2_clutch-traditional_Blocks Against,t2_clutch-traditional_Personal Fouls,t2_clutch-traditional_Personal Fouls Drawn,t2_clutch-traditional_Plus-Minus,t2_clutch-advanced_TEAM,t2_clutch-advanced_Games Played,t2_clutch-advanced_Wins,t2_clutch-advanced_Losses,t2_clutch-advanced_Minutes Played,t2_clutch-advanced_Offensive Rating,t2_clutch-advanced_Defensive Rating,t2_clutch-advanced_Net Rating,t2_clutch-advanced_Assist Percentage,t2_clutch-advanced_Assist to Turnover Ratio,t2_clutch-advanced_Assist Ratio,t2_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-advanced_Defensive Rebounding Percentage,t2_clutch-advanced_Rebounding Percentage,t2_clutch-advanced_Turnover Ratio,t2_clutch-advanced_Effective Field Goal Percentage,t2_clutch-advanced_True Shooting Percentage,t2_clutch-advanced_Pace,t2_clutch-advanced_Player Impact Estimate,t2_clutch-opponent_TEAM,t2_clutch-opponent_Games Played,t2_clutch-opponent_Wins,t2_clutch-opponent_Losses,t2_clutch-opponent_Minutes Played,t2_clutch-opponent_Opponent's Field Goals Made,t2_clutch-opponent_Opponent's Field Goals Attempted,t2_clutch-opponent_Opponent's Field Goal Percentage,t2_clutch-opponent_Opponent's 3 Point Field Goals Made,t2_clutch-opponent_Opponent's 3 Point Field Goals Attempted,t2_clutch-opponent_Opponent's 3 Point Field Goal Percentage,t2_clutch-opponent_Opponent's Free Throws Made,t2_clutch-opponent_Opponent's Free Throws Attempted,t2_clutch-opponent_Opponent's Free Throw Percentage,t2_clutch-opponent_Opponent's Offensive Rebounds,t2_clutch-opponent_Opponent's Defensive Rebounds,t2_clutch-opponent_Opponent's Rebounds,t2_clutch-opponent_Opponent's Assists,t2_clutch-opponent_Opponent's Turnovers,t2_clutch-opponent_Opponent's Steals,t2_clutch-opponent_Opponent's Blocks,t2_clutch-opponent_Opponent's Blocked Field Goal Attempts,t2_clutch-opponent_Opponent's Personal Fouls,t2_clutch-opponent_Opponent's Personal Fouls Drawn,t2_clutch-opponent_Opponent's Points,t2_clutch-opponent_Plus-Minus,t2_TEAM,t2_seed
2023,Los Angeles Lakers,82.0,43.0,39.0,0.524,48.5,117.2,42.9,89.0,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10.0,35.7,45.7,25.3,14.1,6.4,4.6,5.1,17.9,21.5,0.6,Los Angeles Lakers,82.0,43.0,39.0,3976.0,113.9,113.2,0.7,58.9,1.8,17.9,26.9,72.7,50.5,13.7,54.2,58.2,101.92,51.1,8436.0,Los Angeles Lakers,82.0,43.0,39.0,48.5,113.2,35.7,72.7,6.4,4.6,17.0,13.9,15.4,52.8,Los Angeles Lakers,82.0,43.0,39.0,48.5,44.0,93.9,46.9,12.5,36.5,34.4,16.1,20.8,77.3,11.1,33.8,44.9,25.7,12.6,7.6,5.1,4.6,21.5,17.9,116.6,-0.6,Los Angeles Lakers,44.0,23.0,21.0,52.3,3.9,9.5,3.3,7.1,45.5,0.8,2.5,30.6,2.3,3.1,73.5,1.0,2.4,3.4,1.6,0.4,0.5,0.3,0.4,2.1,2.2,0.6,Los Angeles Lakers,44.0,23.0,21.0,172.0,116.7,113.9,2.8,50.3,3.79,14.8,29.9,68.4,48.3,5.3,50.8,56.0,98.02,53.0,Los Angeles Lakers,44.0,23.0,21.0,3.9,3.0,6.7,44.6,0.8,2.5,29.7,2.2,2.6,84.2,0.9,2.7,3.6,1.4,0.8,0.2,0.4,0.3,2.2,2.1,8.9,-0.6,Los Angeles Lakers,7,Memphis Grizzlies,82.0,51.0,31.0,0.622,48.2,116.9,43.7,92.1,47.5,12.0,34.2,35.1,17.5,23.8,73.3,12.0,34.6,46.6,26.0,13.6,8.3,5.8,5.2,20.0,20.0,3.9,Memphis Grizzlies,82.0,51.0,31.0,3956.0,114.7,110.7,4.0,59.6,1.91,18.2,30.2,71.1,50.7,13.3,54.0,57.0,101.5,51.9,8360.0,Memphis Grizzlies,82.0,51.0,31.0,48.2,110.7,34.6,71.1,8.3,5.8,15.6,14.5,13.8,47.5,Memphis Grizzlies,82.0,51.0,31.0,48.2,40.7,89.8,45.3,13.0,36.6,35.5,18.5,23.5,78.7,11.0,33.4,44.4,26.4,15.1,6.8,5.2,5.8,20.0,20.0,113.0,-3.9,Memphis Grizzlies,36.0,21.0,15.0,58.3,3.0,8.0,2.3,5.3,44.0,0.4,1.7,26.2,2.9,3.7,76.9,1.1,1.9,3.1,1.3,0.9,0.3,0.2,0.3,1.6,2.4,0.3,Memphis Grizzlies,36.0,21.0,15.0,110.0,111.7,115.5,-3.9,53.6,1.41,12.8,39.5,68.6,52.8,12.5,48.2,57.4,108.29,50.2,Memphis Grizzlies,36.0,21.0,15.0,3.0,2.4,5.2,46.5,0.7,2.2,32.5,2.1,2.4,85.2,0.6,1.8,2.4,1.7,0.8,0.4,0.3,0.2,2.4,1.6,7.6,-0.3,Memphis Grizzlies,2
2023,Atlanta Hawks,82.0,41.0,41.0,0.5,48.4,118.4,44.6,92.4,48.3,10.8,30.5,35.2,18.5,22.6,81.8,11.2,33.2,44.4,25.0,12.9,7.1,4.9,5.0,18.8,19.7,0.3,Atlanta Hawks,82.0,41.0,41.0,3971.0,115.5,115.4,0.1,56.0,1.93,17.6,28.9,71.7,50.0,12.6,54.1,57.9,101.56,50.0,8407.0,Atlanta Hawks,82.0,41.0,41.0,48.4,115.4,33.2,71.7,7.1,4.9,15.7,14.1,15.4,54.7,Atlanta Hawks,82.0,41.0,41.0,48.4,43.8,90.2,48.6,11.9,33.5,35.6,18.6,23.2,80.3,10.6,33.5,44.1,26.0,14.2,7.5,5.0,4.9,19.7,18.8,118.1,-0.3,Atlanta Hawks,43.0,20.0,23.0,46.5,4.3,9.3,3.2,7.6,42.4,0.6,2.3,27.6,2.3,2.9,77.6,1.0,2.7,3.7,1.3,1.0,0.4,0.6,0.7,2.2,2.0,-1.5,Atlanta Hawks,43.0,20.0,23.0,184.0,103.9,119.8,-15.9,38.8,1.26,10.7,31.4,63.9,47.0,11.1,46.5,52.5,101.2,39.2,Atlanta Hawks,43.0,20.0,23.0,4.3,3.7,7.9,47.3,0.8,2.8,27.5,2.6,3.2,81.3,1.4,3.1,4.5,1.8,0.9,0.6,0.7,0.6,2.0,2.2,10.8,1.5,Atlanta Hawks,7,Boston Celtics,82.0,57.0,25.0,0.695,48.7,117.9,42.2,88.8,47.5,16.0,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,6.5,Boston Celtics,82.0,57.0,25.0,3996.0,117.3,110.6,6.7,63.2,2.0,19.1,25.5,74.6,50.6,13.3,56.6,60.0,99.15,53.4,8247.0,Boston Celtics,82.0,57.0,25.0,48.7,110.6,35.6,74.6,6.4,5.2,15.4,12.7,13.2,48.9,Boston Celtics,82.0,57.0,25.0,48.7,41.8,90.2,46.3,11.6,33.7,34.5,16.2,21.1,76.9,9.7,34.3,44.0,23.1,12.7,6.6,3.9,5.2,19.1,18.8,111.4,-6.5,Boston Celtics,37.0,24.0,13.0,64.9,4.6,10.4,3.2,7.8,41.8,1.2,3.6,31.9,2.8,3.5,79.8,1.0,2.9,4.0,1.8,1.0,0.4,0.5,0.4,2.5,2.9,0.9,Boston Celtics,37.0,24.0,13.0,170.0,110.9,106.3,4.6,56.7,1.79,14.5,31.7,72.1,50.9,10.9,49.3,56.1,95.99,52.1,Boston Celtics,37.0,24.0,13.0,4.6,3.0,7.1,42.0,1.1,3.0,35.5,2.5,3.1,81.6,0.9,3.1,4.1,1.7,1.0,0.6,0.4,0.5,2.9,2.5,9.6,-0.9,Boston Celtics,2
2023,Golden State Warriors,82.0,44.0,38.0,0.537,48.4,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16.0,20.2,79.4,10.5,34.1,44.6,29.8,16.3,7.2,4.0,4.0,21.4,18.4,1.8,Golden State Warriors,82.0,44.0,38.0,3966.0,115.1,113.4,1.7,69.1,1.83,20.4,27.7,71.9,50.2,15.8,57.1,60.0,102.54,51.0,8472.0,Golden State Warriors,82.0,44.0,38.0,48.4,113.4,34.1,71.9,7.2,4.0,19.4,13.3,14.1,49.8,Golden State Warriors,82.0,44.0,38.0,48.4,42.4,90.5,46.8,12.9,35.5,36.4,19.4,25.2,76.9,10.7,32.6,43.3,25.7,14.3,7.9,4.0,4.0,18.4,21.4,117.1,-1.8,Golden State Warriors,41.0,20.0,21.0,48.8,4.2,9.0,3.0,7.7,39.7,1.3,4.0,31.9,1.6,2.0,78.0,1.3,3.4,4.6,1.9,1.3,0.5,0.6,0.6,2.2,1.9,-0.2,Golden State Warriors,41.0,20.0,21.0,173.0,104.0,101.9,2.1,63.2,1.52,15.9,34.2,75.9,54.8,14.7,48.1,52.3,100.16,50.5,Golden State Warriors,41.0,20.0,21.0,4.2,3.1,7.5,41.1,1.0,3.0,32.3,2.0,2.7,72.7,0.7,2.8,3.5,1.8,1.0,0.6,0.6,0.6,1.9,2.2,9.1,0.2,Golden State Warriors,6,Sacramento Kings,82.0,48.0,34.0,0.585,48.4,120.7,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79.0,9.5,32.9,42.5,27.3,13.5,7.0,3.4,4.2,19.7,20.9,2.6,Sacramento Kings,82.0,48.0,34.0,3966.0,118.6,116.0,2.6,62.6,2.02,19.3,26.5,73.1,49.9,13.3,57.2,60.8,100.99,51.1,8343.0,Sacramento Kings,82.0,48.0,34.0,48.4,116.0,32.9,73.1,7.0,3.4,16.3,12.7,11.5,53.5,Sacramento Kings,82.0,48.0,34.0,48.4,43.8,88.9,49.2,12.5,33.4,37.3,18.1,23.0,78.7,9.7,32.5,42.2,26.7,14.2,7.3,4.2,3.4,20.9,19.7,118.1,-2.6,Sacramento Kings,44.0,25.0,19.0,56.8,4.2,11.5,3.9,7.7,50.7,1.0,2.6,37.7,2.8,3.4,80.7,1.0,2.4,3.5,1.6,0.7,0.7,0.1,0.4,2.0,2.5,1.1,Sacramento Kings,44.0,25.0,19.0,184.0,128.6,118.6,10.0,41.3,2.29,13.5,34.6,74.2,52.4,7.8,57.1,62.7,101.73,53.2,Sacramento Kings,44.0,25.0,19.0,4.2,3.5,6.8,52.2,1.0,3.0,33.8,2.4,2.9,82.5,0.5,2.6,3.1,1.9,1.1,0.4,0.4,0.1,2.5,2.0,10.4,-1.1,Sacramento Kings,3
2023,Brooklyn Nets,82.0,45.0,37.0,0.549,48.1,113.4,41.5,85.1,48.7,12.8,33.8,37.8,17.7,22.1,80.0,8.2,32.3,40.5,25.5,13.7,7.1,6.2,3.9,21.1,18.5,0.9,Brooklyn Nets,82.0,45.0,37.0,3946.0,114.6,113.5,1.1,61.6,1.86,18.9,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51.0,8111.0,Brooklyn Nets,82.0,45.0,37.0,48.1,113.5,32.3,68.9,7.1,6.2,16.8,14.6,13.3,50.1,Brooklyn Nets,82.0,45.0,37.0,48.1,41.0,88.5,46.3,11.8,32.2,36.7,18.7,24.4,76.7,11.5,33.6,45.1,23.4,13.7,7.0,3.9,6.2,18.5,21.1,112.5,-0.9,Brooklyn Nets,40.0,24.0,16.0,60.0,3.4,8.1,2.6,5.3,49.1,1.0,2.4,40.6,1.9,2.6,74.5,0.5,2.1,2.6,1.4,0.8,0.5,0.5,0.4,1.9,1.9,0.2,Brooklyn Nets,40.0,24.0,16.0,135.0,114.5,110.5,4.1,53.8,1.7,15.3,24.4,59.1,43.7,11.7,58.3,62.9,101.33,53.7,Brooklyn Nets,40.0,24.0,16.0,3.4,2.5,6.0,41.9,0.7,2.2,30.2,2.2,2.9,77.4,1.2,2.1,3.3,1.3,0.9,0.4,0.4,0.5,1.9,1.9,7.9,-0.2,Brooklyn Nets,6,Philadelphia 76ers,82.0,54.0,28.0,0.659,48.5,115.2,40.8,83.8,48.7,12.6,32.6,38.7,21.0,25.1,83.5,8.7,32.2,40.9,25.2,13.7,7.7,4.7,4.6,20.4,19.6,4.3,Philadelphia 76ers,82.0,54.0,28.0,3976.0,117.0,112.7,4.4,61.6,1.84,18.6,25.8,72.1,49.6,13.9,56.3,60.8,97.44,52.4,8072.0,Philadelphia 76ers,82.0,54.0,28.0,48.5,112.7,32.2,72.1,7.7,4.7,16.5,12.7,15.5,48.1,Philadelphia 76ers,82.0,54.0,28.0,48.5,40.4,85.4,47.3,11.6,33.4,34.8,18.5,23.7,78.1,9.5,31.6,41.2,24.2,14.3,6.6,4.6,4.7,19.6,20.4,110.9,-4.3,Philadelphia 76ers,45.0,28.0,17.0,62.2,3.9,9.0,2.7,6.1,44.2,0.9,2.4,39.6,2.6,3.1,85.6,0.8,2.8,3.5,1.7,1.2,0.6,0.4,0.4,2.0,2.3,1.7,Philadelphia 76ers,45.0,28.0,17.0,176.0,110.1,93.5,16.6,63.9,1.5,15.6,31.4,72.3,52.9,14.1,51.8,60.1,98.23,65.0,Philadelphia 76ers,45.0,28.0,17.0,3.9,2.4,6.1,40.0,0.7,2.6,26.9,1.7,2.6,67.8,0.8,2.4,3.1,1.3,1.2,0.4,0.4,0.4,2.3,2.0,7.3,-1.7,Philadelphia 76ers,3
2023,LA Clippers,82.0,44.0,38.0,0.537,48.4,113.6,41.1,86.1,47.7,12.7,33.3,38.1,18.7,23.9,78.1,9.8,33.4,43.2,23.9,14.2,7.1,4.4,4.2,19.5,19.6,0.5,LA Clippers,82.0,44.0,38.0,3966.0,114.0,113.6,0.5,58.1,1.68,17.5,27.3,73.1,50.5,14.3,55.1,58.8,98.84,49.8,8168.0,LA Clippers,82.0,44.0,38.0,48.4,113.6,33.4,73.1,7.1,4.4,18.1,13.3,14.6,51.1,LA Clippers,82.0,44.0,38.0,48.4,41.8,88.3,47.4,12.2,33.4,36.5,17.2,22.3,77.1,10.2,32.9,43.1,25.0,13.0,7.8,4.2,4.4,19.6,19.5,113.1,-0.5,LA Clippers,42.0,22.0,20.0,52.4,3.3,8.4,2.8,5.6,48.9,0.6,2.0,32.5,2.2,2.7,80.7,0.6,2.3,2.9,1.5,0.9,0.4,0.3,0.2,1.6,1.8,0.5,LA Clippers,42.0,22.0,20.0,140.0,115.8,110.7,5.1,56.0,1.81,16.0,28.5,77.6,52.8,11.9,54.6,61.1,103.23,52.7,LA Clippers,42.0,22.0,20.0,3.3,2.6,5.5,47.0,0.7,2.0,36.5,2.0,2.5,81.6,0.5,2.2,2.7,1.3,0.8,0.5,0.2,0.3,1.8,1.6,7.9,-0.5,LA Clippers,5,Phoenix Suns,82.0,45.0,37.0,0.549,48.2,113.6,42.1,90.1,46.7,12.2,32.6,37.4,17.2,21.7,79.3,11.8,32.4,44.2,27.3,13.5,7.1,5.3,4.0,21.2,19.9,2.1,Phoenix Suns,82.0,45.0,37.0,3956.0,114.5,112.3,2.2,64.7,2.01,19.3,30.7,71.4,50.8,13.6,53.5,57.0,98.83,51.4,8141.0,Phoenix Suns,82.0,45.0,37.0,48.2,112.3,32.4,71.4,7.1,5.3,16.1,13.9,13.2,48.6,Phoenix Suns,82.0,45.0,37.0,48.2,40.0,85.9,46.6,11.4,32.0,35.7,20.1,25.6,78.6,10.2,32.6,42.9,23.4,14.4,7.2,4.0,5.3,19.9,21.2,111.6,-2.1,Phoenix Suns,36.0,17.0,19.0,47.2,4.0,9.0,2.9,7.1,41.0,0.9,2.5,34.4,2.3,3.3,70.6,1.4,2.1,3.6,1.8,1.1,0.7,0.4,0.5,2.2,2.4,-0.3,Phoenix Suns,36.0,17.0,19.0,146.0,109.4,112.1,-2.7,60.0,1.58,14.7,41.1,62.6,50.8,13.5,47.1,52.7,98.0,46.1,Phoenix Suns,36.0,17.0,19.0,4.0,3.1,6.4,48.3,0.8,2.2,34.2,2.4,3.2,74.6,0.9,2.6,3.5,1.6,1.2,0.6,0.5,0.4,2.4,2.2,9.3,0.3,Phoenix Suns,4
2023,Cleveland Cavaliers,82.0,51.0,31.0,0.622,48.5,112.3,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78.0,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19.0,20.4,5.4,Cleveland Cavaliers,82.0,51.0,31.0,3976.0,115.5,109.9,5.6,60.0,1.87,18.6,27.3,71.5,49.6,13.7,55.6,59.0,96.27,53.1,7972.0,Cleveland Cavaliers,82.0,51.0,31.0,48.5,109.9,31.4,71.5,7.1,4.7,15.5,12.1,12.7,46.3,Cleveland Cavaliers,82.0,51.0,31.0,48.5,39.0,83.5,46.8,11.3,30.6,36.8,17.5,22.4,78.2,9.8,31.5,41.2,23.0,15.7,7.0,4.4,4.7,20.4,19.0,106.9,-5.4,Cleveland Cavaliers,45.0,24.0,21.0,53.3,3.8,8.2,2.8,6.4,42.8,0.8,2.2,34.0,1.9,2.6,72.0,1.0,2.5,3.5,1.3,1.1,0.4,0.4,0.5,2.1,2.1,0.6,Cleveland Cavaliers,45.0,24.0,21.0,170.0,107.3,104.3,3.0,48.4,1.25,12.8,37.2,65.6,51.4,14.0,48.6,53.7,94.71,53.2,Cleveland Cavaliers,45.0,24.0,21.0,3.8,2.4,6.2,38.6,0.7,2.6,28.7,2.1,2.7,77.9,0.8,2.3,3.1,1.3,1.0,0.5,0.5,0.4,2.1,2.1,7.6,-0.6,Cleveland Cavaliers,4,New York Knicks,82.0,47.0,35.0,0.573,48.7,116.0,42.0,89.4,47.0,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34.0,46.6,22.9,13.0,6.4,4.1,4.5,20.3,20.7,2.9,New York Knicks,82.0,47.0,35.0,3991.0,117.0,114.2,2.8,54.6,1.77,16.6,31.8,72.7,52.1,13.1,54.1,57.7,97.75,50.9,8134.0,New York Knicks,82.0,47.0,35.0,48.7,114.2,34.0,72.7,6.4,4.1,15.3,13.3,12.7,45.9,New York Knicks,82.0,47.0,35.0,48.7,40.8,88.2,46.2,13.0,36.5,35.7,18.5,23.7,78.2,10.1,31.9,42.0,25.1,12.7,6.0,4.5,4.1,20.7,20.3,113.1,-2.9,New York Knicks,45.0,23.0,22.0,51.1,4.4,9.9,3.1,7.2,43.8,0.8,2.6,29.6,2.9,3.8,75.1,1.3,2.8,4.1,1.3,1.2,0.5,0.5,0.5,3.1,2.7,-1.4,New York Knicks,45.0,23.0,22.0,200.0,109.6,120.2,-10.7,41.1,1.12,10.7,38.7,64.3,52.0,12.8,49.1,56.0,100.08,43.9,New York Knicks,45.0,23.0,22.0,4.4,3.3,7.7,43.2,1.2,3.3,35.1,3.6,4.5,78.9,1.2,2.4,3.5,1.8,0.9,0.5,0.5,0.5,2.7,3.1,11.4,1.4,New York Knicks,5
