TEAM,Games Played,Wins,Losses,Minutes Played,Opponent's Field Goals Made,Opponent's Field Goals Attempted,Opponent's Field Goal Percentage,Opponent's 3 Point Field Goals Made,Opponent's 3 Point Field Goals Attempted,Opponent's 3 Point Field Goal Percentage,Opponent's Free Throws Made,Opponent's Free Throws Attempted,Opponent's Free Throw Percentage,Opponent's Offensive Rebounds,Opponent's Defensive Rebounds,Opponent's Rebounds,Opponent's Assists,Opponent's Turnovers,Opponent's Steals,Opponent's Blocks,Opponent's Blocked Field Goal Attempts,Opponent's Personal Fouls,Opponent's Personal Fouls Drawn,Opponent's Points,Plus-Minus
Utah Jazz,72.0,44.0,28.0,48.2,40.7,89.1,45.7,11.0,31.0,35.3,16.5,21.5,76.7,9.6,33.1,42.7,21.5,12.3,7.9,4.6,4.1,20.8,20.4,108.8,-2.5
Dallas Mavericks,75.0,43.0,32.0,48.5,41.9,91.6,45.8,12.3,34.9,35.1,16.0,21.0,76.0,10.4,35.0,45.4,23.9,11.9,7.0,4.1,4.8,21.3,19.5,112.1,-4.9
Philadelphia 76ers,73.0,43.0,30.0,48.2,39.8,86.0,46.3,10.4,29.4,35.3,18.4,24.5,75.1,8.6,33.2,41.8,22.8,13.8,7.0,4.0,5.3,20.5,20.9,108.4,-2.4
Brooklyn Nets,72.0,35.0,37.0,48.6,41.4,92.9,44.6,12.2,34.8,35.0,17.4,22.6,76.9,10.6,35.3,45.9,22.6,12.8,7.7,5.3,4.5,21.1,21.0,112.3,0.6
Portland Trail Blazers,74.0,35.0,39.0,48.2,41.8,91.6,45.6,13.6,35.4,38.3,19.1,24.7,77.1,11.5,35.4,46.9,24.9,12.9,6.8,4.9,6.1,20.1,21.7,116.1,1.1
Memphis Grizzlies,73.0,34.0,39.0,48.1,40.6,90.3,45.0,12.9,35.3,36.5,19.6,25.0,78.2,10.4,34.5,44.9,24.8,14.8,8.0,5.3,5.5,20.2,21.2,113.7,1.1
Phoenix Suns,73.0,34.0,39.0,48.2,41.2,87.4,47.2,11.6,32.0,36.3,19.3,24.5,78.8,9.1,34.2,43.3,23.6,15.6,7.9,5.5,4.0,22.6,22.0,113.4,-0.2
Orlando Magic,73.0,33.0,40.0,48.1,40.4,86.9,46.5,12.2,33.6,36.4,15.3,19.8,77.1,9.0,35.8,44.9,24.7,14.6,7.0,4.6,5.4,19.5,18.3,108.3,1.0
San Antonio Spurs,71.0,32.0,39.0,48.5,42.3,90.2,46.9,13.1,35.1,37.3,17.4,22.5,77.7,9.4,35.9,45.3,25.7,13.2,6.8,4.3,5.5,20.1,19.4,115.2,1.1
Sacramento Kings,72.0,31.0,41.0,48.5,40.3,85.5,47.1,12.4,34.8,35.7,19.2,24.3,79.0,9.1,34.5,43.5,24.9,15.2,7.7,4.2,4.1,19.5,22.2,112.1,2.0
New Orleans Pelicans,72.0,30.0,42.0,48.4,42.7,91.8,46.5,12.2,33.9,36.1,19.4,24.7,78.9,10.1,34.7,44.8,24.5,14.5,8.5,4.8,5.0,21.1,21.2,117.1,1.3
Washington Wizards,72.0,25.0,47.0,48.2,43.1,88.4,48.8,12.4,33.1,37.6,20.4,26.3,77.8,10.5,35.7,46.2,25.2,16.2,7.5,5.0,4.3,22.2,22.7,119.1,4.7
Charlotte Hornets,65.0,23.0,42.0,48.5,41.7,87.5,47.6,12.4,35.1,35.2,14.0,18.4,75.8,10.9,35.0,46.0,26.6,14.4,8.0,5.0,4.1,20.6,18.8,109.6,6.8
Chicago Bulls,65.0,22.0,43.0,48.2,39.5,82.5,47.9,11.2,31.6,35.3,19.7,26.0,75.9,10.2,35.4,45.5,25.4,18.3,8.2,5.9,4.1,19.2,21.8,109.9,3.1
New York Knicks,66.0,21.0,45.0,48.4,39.9,86.0,46.3,13.3,34.9,38.1,19.2,25.7,74.9,9.6,34.6,44.2,24.3,13.7,7.2,5.0,4.7,19.8,22.2,112.3,6.5
Atlanta Hawks,67.0,20.0,47.0,48.6,43.3,90.7,47.8,11.9,32.7,36.3,21.2,27.4,77.2,11.2,35.9,47.0,25.0,15.0,9.0,6.4,5.1,21.0,23.1,119.7,8.0
Detroit Pistons,66.0,20.0,46.0,48.4,41.9,87.3,48.0,10.7,29.6,36.1,16.2,20.9,77.7,10.1,33.4,43.5,24.6,14.0,8.2,5.6,4.5,19.8,19.7,110.8,3.6
Cleveland Cavaliers,65.0,19.0,46.0,48.4,43.9,89.4,49.1,12.4,33.0,37.5,14.7,19.2,76.7,9.7,33.1,42.9,26.1,13.0,9.4,6.3,3.2,19.6,18.3,114.8,7.9
Minnesota Timberwolves,64.0,19.0,45.0,48.6,43.1,90.4,47.7,11.6,31.9,36.3,19.7,25.2,78.3,10.1,37.2,47.3,24.4,15.5,7.8,5.5,5.7,21.6,21.4,117.5,4.3
Golden State Warriors,65.0,15.0,50.0,48.4,42.2,88.6,47.6,13.5,34.8,38.9,17.1,21.9,78.3,10.2,36.3,46.5,26.1,15.6,8.2,4.9,4.6,20.1,20.1,115.0,8.7
